0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,labels
-328.7863,120.972275,-28.080675,18.766842,-19.197758,-3.7373488,-1.1088473,-23.374868,-2.5904806,-9.212038,-13.007887,-2.4246871,-4.2539105,2.4225528,-5.596744,-2.9040208,-3.126055,-10.65481,-3.0110083,-4.8940463,-6.640792,-2.8932643,1.0875432,3.9860368,13.321888,13.699468,13.837567,13.048158,6.5577064,2.6299994,0.8859665,3.5979784,2.829795,4.6888347,1.2861562,-2.179738,-0.86201143,1.0463688,-0.4726186,-2.4157786,Hate
-395.63193,65.701416,-28.219597,26.282917,-16.250063,5.057347,-13.107434,-5.347188,-7.9297686,3.1555786,-14.200063,8.580727,-0.5386125,2.2661178,-4.743369,-0.088107206,5.9958444,-10.406846,6.8083806,-5.774756,-2.8870726,1.4351995,-1.4276084,-5.204905,4.960102,-2.2307892,2.1428378,1.1513506,0.47137266,0.30317298,-3.9983742,2.2861485,-4.363137,0.8930297,-3.1736293,-1.6113495,0.08401305,6.379647,4.9219522,8.492608,Hate
-395.63193,65.701416,-28.219597,26.282917,-16.250063,5.057347,-13.107434,-5.347188,-7.9297686,3.1555786,-14.200063,8.580727,-0.5386125,2.2661178,-4.743369,-0.088107206,5.9958444,-10.406846,6.8083806,-5.774756,-2.8870726,1.4351995,-1.4276084,-5.204905,4.960102,-2.2307892,2.1428378,1.1513506,0.47137266,0.30317298,-3.9983742,2.2861485,-4.363137,0.8930297,-3.1736293,-1.6113495,0.08401305,6.379647,4.9219522,8.492608,Hate
-395.63193,65.701416,-28.219597,26.282917,-16.250063,5.057347,-13.107434,-5.347188,-7.9297686,3.1555786,-14.200063,8.580727,-0.5386125,2.2661178,-4.743369,-0.088107206,5.9958444,-10.406846,6.8083806,-5.774756,-2.8870726,1.4351995,-1.4276084,-5.204905,4.960102,-2.2307892,2.1428378,1.1513506,0.47137266,0.30317298,-3.9983742,2.2861485,-4.363137,0.8930297,-3.1736293,-1.6113495,0.08401305,6.379647,4.9219522,8.492608,Hate
-395.63193,65.701416,-28.219597,26.282917,-16.250063,5.057347,-13.107434,-5.347188,-7.9297686,3.1555786,-14.200063,8.580727,-0.5386125,2.2661178,-4.743369,-0.088107206,5.9958444,-10.406846,6.8083806,-5.774756,-2.8870726,1.4351995,-1.4276084,-5.204905,4.960102,-2.2307892,2.1428378,1.1513506,0.47137266,0.30317298,-3.9983742,2.2861485,-4.363137,0.8930297,-3.1736293,-1.6113495,0.08401305,6.379647,4.9219522,8.492608,Hate
-395.63193,65.701416,-28.219597,26.282917,-16.250063,5.057347,-13.107434,-5.347188,-7.9297686,3.1555786,-14.200063,8.580727,-0.5386125,2.2661178,-4.743369,-0.088107206,5.9958444,-10.406846,6.8083806,-5.774756,-2.8870726,1.4351995,-1.4276084,-5.204905,4.960102,-2.2307892,2.1428378,1.1513506,0.47137266,0.30317298,-3.9983742,2.2861485,-4.363137,0.8930297,-3.1736293,-1.6113495,0.08401305,6.379647,4.9219522,8.492608,Hate
-362.24725,99.06163,-14.00108,32.785225,-21.74783,-6.7006316,0.64402324,-18.872725,-10.4789505,-9.034963,-14.385896,-2.325495,-6.2880745,2.2934763,-6.0513554,-7.183378,-2.179471,-8.914536,0.6105286,-2.3780987,-2.6577854,0.75522953,1.1332753,-1.4218593,7.63567,8.431097,11.552889,13.177299,8.294506,2.9945369,-2.0470526,2.0240538,1.5552611,5.1210284,2.0619426,-0.26426744,-1.0641911,0.8280893,1.0656153,0.5091005,Hate
-362.24725,99.06163,-14.00108,32.785225,-21.74783,-6.7006316,0.64402324,-18.872725,-10.4789505,-9.034963,-14.385896,-2.325495,-6.2880745,2.2934763,-6.0513554,-7.183378,-2.179471,-8.914536,0.6105286,-2.3780987,-2.6577854,0.75522953,1.1332753,-1.4218593,7.63567,8.431097,11.552889,13.177299,8.294506,2.9945369,-2.0470526,2.0240538,1.5552611,5.1210284,2.0619426,-0.26426744,-1.0641911,0.8280893,1.0656153,0.5091005,Hate
-362.24725,99.06163,-14.00108,32.785225,-21.74783,-6.7006316,0.64402324,-18.872725,-10.4789505,-9.034963,-14.385896,-2.325495,-6.2880745,2.2934763,-6.0513554,-7.183378,-2.179471,-8.914536,0.6105286,-2.3780987,-2.6577854,0.75522953,1.1332753,-1.4218593,7.63567,8.431097,11.552889,13.177299,8.294506,2.9945369,-2.0470526,2.0240538,1.5552611,5.1210284,2.0619426,-0.26426744,-1.0641911,0.8280893,1.0656153,0.5091005,Hate
-362.24725,99.06163,-14.00108,32.785225,-21.74783,-6.7006316,0.64402324,-18.872725,-10.4789505,-9.034963,-14.385896,-2.325495,-6.2880745,2.2934763,-6.0513554,-7.183378,-2.179471,-8.914536,0.6105286,-2.3780987,-2.6577854,0.75522953,1.1332753,-1.4218593,7.63567,8.431097,11.552889,13.177299,8.294506,2.9945369,-2.0470526,2.0240538,1.5552611,5.1210284,2.0619426,-0.26426744,-1.0641911,0.8280893,1.0656153,0.5091005,Hate
-356.42084,117.35088,-12.176113,24.883533,-27.293869,-0.48853606,2.459084,-20.781807,-10.550458,-8.50482,-13.209367,-2.2780554,-4.537821,-0.38127512,-6.3149347,-5.3305497,-2.6664376,-8.7120075,-2.9530897,-5.0903387,-3.2366362,2.7866874,9.447091,8.488388,16.374802,11.772085,7.109077,4.8209968,1.7053732,3.8546994,-0.20441951,1.4351128,-1.0322111,-0.48835894,-1.7087353,-0.72376186,-1.454449,-1.6909307,-1.4206518,-1.4025202,Hate
-362.24725,99.06163,-14.00108,32.785225,-21.74783,-6.7006316,0.64402324,-18.872725,-10.4789505,-9.034963,-14.385896,-2.325495,-6.2880745,2.2934763,-6.0513554,-7.183378,-2.179471,-8.914536,0.6105286,-2.3780987,-2.6577854,0.75522953,1.1332753,-1.4218593,7.63567,8.431097,11.552889,13.177299,8.294506,2.9945369,-2.0470526,2.0240538,1.5552611,5.1210284,2.0619426,-0.26426744,-1.0641911,0.8280893,1.0656153,0.5091005,Hate
-335.51843,75.462585,-9.104047,47.9447,-21.511406,-0.9663914,-11.168168,-8.840895,-15.375367,-11.767478,-12.617699,2.808508,-6.4837747,1.1093651,-7.4545255,-2.1842496,3.2552643,-12.110286,3.4877574,-2.0139313,2.1812809,2.614078,8.838055,4.0267797,8.146264,6.105001,5.8301187,4.781939,1.6048716,1.7686349,-0.81577325,3.7834935,0.49534085,3.668723,-1.1592079,1.6650559,-0.28631055,1.7973258,-0.3119867,1.2502621,Hate
-335.51843,75.462585,-9.104047,47.9447,-21.511406,-0.9663914,-11.168168,-8.840895,-15.375367,-11.767478,-12.617699,2.808508,-6.4837747,1.1093651,-7.4545255,-2.1842496,3.2552643,-12.110286,3.4877574,-2.0139313,2.1812809,2.614078,8.838055,4.0267797,8.146264,6.105001,5.8301187,4.781939,1.6048716,1.7686349,-0.81577325,3.7834935,0.49534085,3.668723,-1.1592079,1.6650559,-0.28631055,1.7973258,-0.3119867,1.2502621,Hate
-335.51843,75.462585,-9.104047,47.9447,-21.511406,-0.9663914,-11.168168,-8.840895,-15.375367,-11.767478,-12.617699,2.808508,-6.4837747,1.1093651,-7.4545255,-2.1842496,3.2552643,-12.110286,3.4877574,-2.0139313,2.1812809,2.614078,8.838055,4.0267797,8.146264,6.105001,5.8301187,4.781939,1.6048716,1.7686349,-0.81577325,3.7834935,0.49534085,3.668723,-1.1592079,1.6650559,-0.28631055,1.7973258,-0.3119867,1.2502621,Hate
-335.51843,75.462585,-9.104047,47.9447,-21.511406,-0.9663914,-11.168168,-8.840895,-15.375367,-11.767478,-12.617699,2.808508,-6.4837747,1.1093651,-7.4545255,-2.1842496,3.2552643,-12.110286,3.4877574,-2.0139313,2.1812809,2.614078,8.838055,4.0267797,8.146264,6.105001,5.8301187,4.781939,1.6048716,1.7686349,-0.81577325,3.7834935,0.49534085,3.668723,-1.1592079,1.6650559,-0.28631055,1.7973258,-0.3119867,1.2502621,Hate
-335.51843,75.462585,-9.104047,47.9447,-21.511406,-0.9663914,-11.168168,-8.840895,-15.375367,-11.767478,-12.617699,2.808508,-6.4837747,1.1093651,-7.4545255,-2.1842496,3.2552643,-12.110286,3.4877574,-2.0139313,2.1812809,2.614078,8.838055,4.0267797,8.146264,6.105001,5.8301187,4.781939,1.6048716,1.7686349,-0.81577325,3.7834935,0.49534085,3.668723,-1.1592079,1.6650559,-0.28631055,1.7973258,-0.3119867,1.2502621,Hate
